Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,4.160000,4.160000,4.120000,4.140000,4.054463,1312
2023-04-21,4.280000,4.320000,4.200000,4.300000,4.211158,1226
2023-04-24,4.300000,4.300000,4.160000,4.200000,4.113224,340
2023-04-25,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-04-26,4.200000,4.300000,4.200000,4.300000,4.211158,1096
2023-04-27,4.300000,4.300000,4.300000,4.300000,4.211158,25
2023-04-28,4.160000,4.300000,4.160000,4.300000,4.211158,39
2023-05-02,4.300000,4.300000,4.300000,4.300000,4.211158,1645
2023-05-03,4.300000,4.320000,4.300000,4.300000,4.211158,955
2023-05-04,4.300000,4.300000,4.300000,4.300000,4.211158,2515
2023-05-05,4.160000,4.300000,4.040000,4.280000,4.191571,1823
2023-05-08,4.100000,4.260000,3.980000,4.220000,4.132811,260
2023-05-09,4.200000,4.220000,4.020000,4.220000,4.132811,59
2023-05-10,4.200000,4.200000,4.200000,4.200000,4.113224,241
2023-05-11,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-05-12,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-05-15,4.200000,4.200000,4.200000,4.200000,4.113224,2500
2023-05-16,4.200000,4.200000,4.200000,4.200000,4.113224,714
2023-05-17,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-05-18,4.200000,4.300000,4.200000,4.300000,4.211158,287
2023-05-19,4.240000,4.240000,4.200000,4.200000,4.113224,106
2023-05-22,4.280000,4.280000,4.280000,4.280000,4.191571,213
2023-05-23,4.280000,4.280000,4.280000,4.280000,4.191571,0
2023-05-24,4.200000,4.200000,4.200000,4.200000,4.113224,6
2023-05-25,4.200000,4.200000,4.200000,4.200000,4.113224,485
2023-05-26,4.200000,4.200000,4.120000,4.120000,4.034877,940
2023-05-29,4.020000,4.300000,4.020000,4.280000,4.191571,3097
2023-05-30,4.280000,4.280000,4.260000,4.260000,4.171985,50
2023-05-31,4.260000,4.260000,4.260000,4.260000,4.171985,0
2023-06-01,4.320000,4.320000,4.320000,4.320000,4.230745,100
2023-06-02,4.280000,4.280000,4.280000,4.280000,4.191571,136
2023-06-05,4.320000,4.320000,4.200000,4.200000,4.113224,81
2023-06-06,4.320000,4.320000,4.200000,4.200000,4.113224,454
2023-06-07,4.320000,4.320000,4.320000,4.320000,4.230745,2000
2023-06-08,4.320000,4.320000,4.320000,4.320000,4.230745,0
2023-06-09,4.300000,4.300000,4.300000,4.300000,4.211158,1795
2023-06-12,4.280000,4.280000,4.280000,4.280000,4.191571,1775
2023-06-13,4.280000,4.280000,4.280000,4.280000,4.191571,0
2023-06-14,4.280000,4.280000,4.280000,4.280000,4.191571,0
2023-06-15,4.280000,4.280000,4.280000,4.280000,4.191571,0
2023-06-16,4.340000,4.340000,4.340000,4.340000,4.250332,7
2023-06-19,4.280000,4.300000,4.280000,4.300000,4.211158,526
2023-06-20,4.360000,4.360000,4.040000,4.040000,3.956530,686
2023-06-21,4.080000,4.080000,4.080000,4.080000,3.995703,467
2023-06-22,4.100000,4.200000,4.100000,4.200000,4.113224,107
2023-06-23,4.120000,4.120000,4.120000,4.120000,4.034877,132
2023-06-26,4.120000,4.120000,4.120000,4.120000,4.034877,65
2023-06-27,4.280000,4.280000,4.280000,4.280000,4.191571,102
2023-06-28,4.120000,4.120000,4.120000,4.120000,4.034877,100
2023-06-29,4.120000,4.120000,4.120000,4.120000,4.034877,0
2023-06-30,4.120000,4.120000,4.120000,4.120000,4.034877,150
2023-07-03,4.240000,4.240000,4.120000,4.220000,4.132811,2437
2023-07-04,4.120000,4.120000,4.120000,4.120000,4.034877,200
2023-07-05,4.120000,4.120000,4.120000,4.120000,4.034877,0
2023-07-06,4.040000,4.200000,4.040000,4.200000,4.113224,56
2023-07-07,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-07-10,4.100000,4.100000,4.100000,4.100000,4.015290,674
2023-07-11,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-07-12,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-07-13,4.000000,4.060000,4.000000,4.060000,3.976117,627
2023-07-14,4.240000,4.240000,4.000000,4.100000,4.015290,944
2023-07-17,4.040000,4.280000,4.020000,4.280000,4.191571,1120
2023-07-18,4.080000,4.080000,4.020000,4.040000,3.956530,1075
2023-07-19,4.240000,4.240000,4.100000,4.100000,4.015290,2300
2023-07-20,4.120000,4.120000,4.100000,4.100000,4.015290,200
2023-07-21,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-07-24,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-07-25,4.100000,4.100000,4.100000,4.100000,4.015290,6
2023-07-26,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-07-27,4.200000,4.200000,4.200000,4.200000,4.113224,50
2023-07-28,4.100000,4.200000,4.020000,4.200000,4.113224,3288
2023-07-31,4.240000,4.240000,4.020000,4.080000,3.995703,1684
2023-08-01,4.180000,4.200000,4.180000,4.200000,4.113224,5517
2023-08-02,4.080000,4.200000,4.080000,4.200000,4.113224,5212
2023-08-03,4.180000,4.240000,4.180000,4.240000,4.152398,6000
2023-08-04,4.240000,4.240000,4.240000,4.240000,4.152398,0
2023-08-07,4.280000,4.500000,4.100000,4.100000,4.015290,4500
2023-08-08,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-08-09,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-08-10,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-08-11,4.100000,4.100000,4.100000,4.100000,4.015290,0
2023-08-14,4.200000,4.200000,4.200000,4.200000,4.113224,50
2023-08-15,4.200000,4.200000,4.200000,4.200000,4.113224,0
2023-08-16,4.100000,4.160000,4.100000,4.160000,4.074050,385
2023-08-17,4.200000,4.500000,4.100000,4.380000,4.289505,7089
2023-08-18,4.140000,4.140000,4.140000,4.140000,4.054463,100
2023-08-21,4.200000,4.400000,4.120000,4.360000,4.269918,2274
2023-08-22,4.180000,4.440000,4.120000,4.420000,4.328679,3430
2023-08-23,4.420000,4.420000,4.420000,4.420000,4.328679,0
2023-08-24,4.420000,4.420000,4.420000,4.420000,4.328679,0
2023-08-25,4.400000,4.480000,4.400000,4.480000,4.387439,1185
2023-08-28,4.480000,4.480000,4.480000,4.480000,4.387439,0
2023-08-29,4.300000,5.200000,4.300000,4.640000,4.544133,25280
2023-08-30,4.840000,5.100000,4.700000,4.740000,4.642067,7602
2023-08-31,5.100000,5.100000,4.880000,4.960000,4.857522,1477
2023-09-01,4.780000,4.900000,4.560000,4.800000,4.700828,1525
2023-09-04,4.900000,4.980000,4.500000,4.580000,4.485373,1829
2023-09-05,4.900000,4.900000,4.880000,4.900000,4.798761,445
2023-09-06,4.880000,4.880000,4.660000,4.700000,4.602893,2453
2023-09-07,4.800000,4.800000,4.560000,4.560000,4.465786,1133
2023-09-08,4.500000,4.900000,4.500000,4.660000,4.563720,9792
2023-09-11,4.520000,4.820000,4.520000,4.540000,4.446199,2837
2023-09-12,4.760000,4.900000,4.500000,4.660000,4.563720,9889
